"station_english_name";"station_latitude";"station_longitude"
"Bauthali Chowk Bus Route Point";"27.67720282529375";"85.23984778672458"
"Radha Krishna Chowk Bus Route Point";"27.7301273";"85.2874097"
"Tufan Chok Bus Route Point";"27.7321349";"85.2891163"
"Kharibot Balaju";"27.7308288";"85.2938809"
"Balaju Police Route Point";"27.7325429";"85.3028646"
"Balaju Height Bus Route Point";"27.7356138";"85.2956267"
"Basbari Golfutaar";"27.7456798";"85.342344"
"Dhapasi Height Bus Route Point";"27.7498384";"85.3380374"
"Boshigaun Bus Route Point";"27.6768299";"85.2483916"
"Dahachowk Bus Route Point";"27.7046092";"85.2307722"
"Baluwatar Bus Route Point";"27.7245063";"85.3308964"
"Gyanpunja Marga Bus Route Point";"27.7332623";"85.3363466"
"kalopani";"27.69810322686063";"85.2431458979845"
"partnercity micro buspark";"27.678985181489182";"85.33551078289746"
"international friendship children hospital";"27.731172481585325";"85.32651297748089"
"National Police Academy talim kendra";"27.73291567411987";"85.32879687845707"
"Teaching Kanti Bus Route Point";"27.73445556002633";"85.33062279224397"
"manohar school";"27.737861096674276";"85.31959623098372"
"crs bus station";"27.74181756984857";"85.32183554023504"
"green land bus station";"27.74661600657205";"85.32403964549303"
"milan samaj bus station";"27.75130326179488";"85.32564125955105"
"tokha pool bus station";"27.756114632039733";"85.32730791717766"
"saibaba chok";"27.7627468297473";"85.33049002289772"
"Suryadarshan Height Bus Stop";"27.757452734347666";"85.32243467867374"
"dhaneswor mandir bus station";"27.753857325952417";"85.31860247254372"
"jalpa chok bus station";"27.74737799228646";"85.31746957451107"
"baniyataar pool bus station";"27.74473891154574";"85.31646039336918"
"mana maiju pool bus station";"27.74203537496934";"85.31487118452787"
"Ganeshsthan Gongabu";"27.73912998499366";"85.31386569142342"
"town planning samakhusi";"27.730227869692794";"85.31477529555558"
"Redhon pul samakhusi";"27.72812494369591";"85.31456373631953"
"Galkopakha Samakhusi";"27.719473318001715";"85.31257152557373"
"Tinkune Kritipur";"27.67588363139096";"85.28137978166342"
"Nagau Dobato";"27.67485896630051";"85.27783423662186"
"Metro Police Beat Kritipur";"27.677289227039417";"85.27575317770243"
"Panga Bus Stop";"27.670930351074965";"85.2791589125991"
"Bhanjang Khokana";"27.657395723237997";"85.29631599783899"
"Bhaisepaty Charghare";"27.655692900330603";"85.30584990978241"
"Bhaiseparty Awash";"27.654358894971843";"85.30555989593267"
"Mahila Ghar Chowk";"27.6458769486206";"85.30482798814774"
"Karyabinayak ";"27.642266873092808";"85.3046801313758"
"Khokana Dobato";"27.640227595545806";"85.30507173389195"
"Ncell Nakhhu";"27.664765605573155";"85.30631627887489"
"Aarthik Dainik Chahana Publication";"27.685838801987842";"85.3137144818902"
"Swyambhu";"27.715834806217686";"85.28354063630104"
"Welness club";"27.71797803761703";"85.31997911632061"
"Bhaktapur buspark bagbazar";"27.705570990436964";"85.31695257872343"
"Attarkhel Jorpati";"27.733137";"85.3815"
"jadibuti";"27.6752360536728";"85.3527795150876"
"Ram petrol";"27.697161000247146";"85.3250377625227"
"Sipradi";"27.686316793610573";"85.25862760841845"
"New Buspark Gongabu";"27.732381501638105";"85.30814453959465"
"Old Buspark";"27.705060430994692";"85.31505458056927"
"Ct Center";"27.70981240031698";"85.32662194222213"
"Berger Office Butwal";"27.684872718121554";"83.4635481610894"
"Muna House";"27.59014645284354";"83.36735174059866"
"Testings";"27.69457295221341";"85.31999856233595"
